date,station,name,latitude,longitude,anabaena,ankistrodesmus,aphanizomenon,aphanocapsa,aphanothece,asterionella,aulacoseira,carteria,centrales,ceratium,chlamydomonas,chlorella,chlorococcum,chroococcus,closterium,coelastrum,coelosphaerium,cosmarium,crucigenia,cryptomonas,cyclotella,cymbella,diatoma,dictyosphaerium,dimorphococcus,dinobryon,dysmorphococcus,eudorina,euglena,fragilaria,gloeocystis,golenkinia,gonyostomum,gymnodinium,komma,limnothrix,mallomonas,meridion,merismopedia,micractinium,mougeotia,navicula,nitzschia,nostoc,oocystis,pandorina,pennales,peridinium,phacus,placoneis,planktolyngbya,planktothrix,pseudanabaena,quadrigula,scenedesmus,schroederia,selenastrum,sphaerocystis,stephanodiscus,strombomonas,synedra,synura,tabellaria,tetraedron,trachelomonas,treubaria,urosolenia,woronichinia
2022-07-12,10052587,IRON MOUTH,46.77119,-91.48382,0,16,0,0,0,33,123,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,5,0,0,46,0,0,0,33,0,16,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,14,0
2022-07-13,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,111,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,349,0,0,0,18,0,12,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,18,0,0,0,94,0
2022-07-27,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,52,0,0,0,19,0,14,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,19,0,0,0,79,0
2022-07-27,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,286,28,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,52,0,0,0,110,0,7,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,135,0
2022-08-09,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,16,0,0,0,63,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,27,0,0,0,0,0,30,0
2022-08-10,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,16,0,0,123,57,8,0,82,0,0,0,0,0,0,49,0,0,0,3,0,0,0,0,11,0,0,0,0,19,3,0,0,0,3,0,35,0
2022-08-22,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,49,0,0,0,14,0,33,0,0,46,60,5,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,5,0,0,19,0,0,0,5,0
2022-08-23,10052513,SISKIWIT BAY,46.85905,-91.115295,0,3,0,0,1526,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,11,0,46,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0
2022-09-07,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,0,44,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2022-09-07,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,13,0,0,0,5,0,18,0,0,106,0,0,0,0,0,0,0,0,0,5,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,10052510,FLAG MOUTH,46.79663,-91.37061,0,8,0,0,0,8,0,0,145,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,0,0,23,0,0,0,0,54,0,0,0,0,317,0,0,0,0,0,0,0,0,617,0,243,21,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,41,0,0,18,0
2023-06-27,10052587,IRON MOUTH,46.77119,-91.48382,0,6,0,0,0,39,0,0,42,0,0,0,224,0,0,0,0,0,860,0,0,0,0,0,0,151,0,0,0,0,0,3,27,0,91,18,0,0,0,24,0,0,0,0,0,109,118,18,0,0,0,0,0,0,0,0,6,0,0,0,0,154,0,9,33,0,33,0
2023-07-17,10040814,SCHAFFER BEACH,46.68592,-91.929726,85,18,0,836,0,333,0,587,139,0,0,0,0,0,0,151,0,18,388,73,0,0,0,0,0,279,6,0,0,472,48,0,0,0,0,0,12,0,0,0,0,0,0,0,79,0,67,48,0,0,0,0,176,12,6,0,0,0,0,0,0,0,0,18,0,6,24,0
2023-07-17,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-17,101,POPLAR MOUTH,46.7,-91.78334,0,0,0,363,0,114,0,0,86,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,345,0,0,0,114,14,0,18,0,363,0,0,0,0,0,0,9,5,0,0,0,173,32,0,0,0,0,0,0,18,0,0,209,0,0,0,0,0,14,50,0,9,0
2023-07-17,103,BRULE MOUTH,46.7486,-91.618065,0,0,0,0,0,218,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,319,0,0,0,273,0,0,31,0,405,0,0,0,0,0,39,70,0,0,78,0,701,31,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,23,0,0,0,0
2023-07-18,10052510,FLAG MOUTH,46.79663,-91.37061,0,8,0,0,0,158,0,0,79,0,55,0,0,0,0,0,0,3,0,11,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,33,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,30,0,0,14,0
2023-07-18,10052513,SISKIWIT BAY,46.85905,-91.115295,0,30,0,0,0,84,0,0,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,57,0,0,0,0,0,5,5,0,22,0,3,0,0,0,0,0,0,0,0,153,60,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,57,0
2023-07-18,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,131,0,0,120,0,11,0,0,0,0,33,0,0,33,0,0,0,0,0,0,131,0,0,5,0,82,11,5,0,41,0,0,0,0,0,0,0,0,0,0,0,128,16,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,11,0,0,22,0
2023-07-31,10052513,SISKIWIT BAY,46.85905,-91.115295,32,0,212,220,132,32,0,0,220,0,152,0,0,0,4,28,0,12,0,4,20,0,0,0,4,232,0,0,0,0,40,0,0,28,108,84,0,0,0,0,0,4,0,521,48,0,104,16,0,0,0,0,0,12,12,0,4,529,0,0,0,0,0,8,0,4,128,0
2023-07-31,10052587,IRON MOUTH,46.77119,-91.48382,0,7,0,164,160,68,0,0,279,0,31,0,0,0,0,0,0,7,218,0,0,0,0,55,0,255,0,0,0,0,14,3,0,78,7,0,0,0,0,0,0,0,0,0,37,0,89,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,24,34,0,48,0
2023-08-01,101,POPLAR MOUTH,46.7,-91.78334,0,0,0,1334,0,131,0,0,346,0,267,0,0,0,6,0,0,0,45,28,0,0,0,74,0,346,0,0,0,0,0,0,97,0,68,0,0,0,0,0,0,0,0,0,0,0,57,6,0,0,0,0,221,0,0,0,0,204,0,0,0,0,0,17,0,0,278,0
2023-08-01,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,0,0,0,0,27,51,0,160,0,78,0,0,0,0,61,0,27,235,10,0,0,0,0,0,109,7,0,3,0,34,3,0,17,136,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,37,0
2023-07-31,10052510,FLAG MOUTH,46.79663,-91.37061,0,4,0,518,226,93,142,0,420,0,35,0,0,0,0,0,0,9,53,9,0,0,0,27,0,323,0,0,0,0,0,9,0,84,66,142,0,0,0,0,0,4,0,0,9,0,71,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,27,0,0,106,0
2023-08-01,103,BRULE MOUTH,46.7486,-91.618065,0,4,0,121,289,86,17,4,414,0,0,0,0,427,0,47,0,0,0,0,0,0,0,0,0,448,0,0,0,26,9,4,0,26,43,0,0,0,0,30,0,0,0,0,26,0,43,0,0,0,108,0,0,0,0,0,0,129,0,0,0,0,0,13,0,0,86,0
2023-08-30,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,120,0,0,0,0,0,0,155,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,24,0,0,0,0,0,0,24,0,0,0,0
2023-08-30,10052510,FLAG MOUTH,46.79663,-91.37061,0,0,0,412,328,3,0,0,535,0,129,0,0,0,0,0,0,10,210,3,0,0,0,0,0,94,0,0,0,0,126,3,0,0,56,0,0,0,0,0,0,0,0,0,3,0,38,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,35,0,0,28,0
2023-08-30,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,290,430,5,0,0,444,0,106,0,0,0,0,0,0,24,53,3,0,0,0,26,0,87,0,140,0,0,16,0,0,0,42,0,5,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11,0
2023-08-30,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,995,1754,0,31,0,1175,0,164,0,0,0,0,0,0,31,31,8,0,16,0,0,0,70,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,70,0,298,8,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,47,8,0,0,0
2023-08-30,101,POPLAR MOUTH,46.7,-91.78334,0,467,0,0,0,0,0,0,328,0,1072,0,0,0,0,0,0,13,0,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,13,0,0,0,0,25,13,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,88,0,0,0,0
2023-08-30,103,BRULE MOUTH,46.7486,-91.618065,0,0,0,1678,0,0,59,0,806,0,564,0,0,0,0,0,0,15,0,7,0,0,0,0,0,95,0,0,7,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,37,0,0,15,0
2023-09-05,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,0,0,0,0,0,77,0,299,0,423,0,0,0,0,0,0,0,0,5,0,0,0,0,0,41,0,0,0,0,41,0,0,0,594,0,0,0,0,0,0,0,0,0,52,0,41,5,0,0,0,0,119,21,0,0,0,0,0,0,0,0,0,72,0,0,26,0
2023-09-05,10052510,FLAG MOUTH,46.79663,-91.37061,0,0,0,2366,557,51,0,0,850,0,505,0,0,0,0,0,0,0,117,7,0,0,0,0,0,103,7,952,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,139,0,29,7,0,0,0,0,198,15,0,0,0,0,0,0,0,0,0,66,0,0,15,0
2023-09-05,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,598,0,0,0,0,742,0,462,0,0,0,0,0,0,15,61,0,0,0,0,121,8,68,0,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,129,23,0,0,0,0,129,23,0,0,0,0,0,0,0,0,0,30,0,0,0,0
2023-09-05,101,POPLAR MOUTH,46.7,-91.78334,0,0,0,850,0,39,0,0,242,0,594,0,0,0,0,0,0,0,19,0,0,0,0,0,10,29,0,0,0,0,0,0,0,34,425,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,246,5,0,0,0,0,0,0,0,0,0,58,0,0,5,0
2023-09-05,103,BRULE MOUTH,46.7486,-91.618065,0,0,0,2281,0,0,0,0,370,0,360,0,0,0,0,138,0,5,20,5,0,0,0,0,0,59,0,0,0,0,5,0,0,0,474,0,0,0,0,0,0,0,0,0,64,0,54,5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,59,0,0,30,0
2023-09-21,10052510,FLAG MOUTH,46.79663,-91.37061,0,0,0,2462,0,0,0,0,152,0,152,90,0,0,0,0,0,3,72,0,0,0,0,0,0,21,0,0,0,24,0,0,0,0,254,0,0,0,0,0,0,3,0,1234,57,0,15,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
2023-09-21,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,9747,458,0,0,0,315,0,158,0,0,198,44,0,0,0,15,4,0,0,0,0,0,55,0,0,0,0,0,0,0,0,81,0,0,0,44,0,0,4,0,1842,26,0,18,7,0,0,0,0,40,0,0,0,11,0,0,0,0,0,0,11,0,4,4,0
2023-09-21,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,7324,0,0,0,0,435,0,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,151,0,0,0,2952,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,19,0
2023-09-21,101,POPLAR MOUTH,46.7,-91.78334,0,0,0,3682,0,0,0,0,97,0,633,0,0,0,32,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4169,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
2024-07-11,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,44,0,0,0,25,0,44,0,0,1977,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
2024-07-11,101,POPLAR MOUTH,46.7,-91.78334,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,16,0,0,0,24,0,8,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,16,0,0,0,8,0
2024-07-22,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,157,0,0,0,0,0,27,0,0,2105,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,0
2024-07-22,10052510,FLAG MOUTH,46.79663,-91.37061,0,0,0,0,0,46,30,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,38,0,0,0,30,0,16,0,0,357,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,52,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0
2024-07-22,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,34,56,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,170,0,0,0,19,0,22,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,93,0,0,0,0,0
2024-07-22,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,89,0,0,0,27,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,148,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0
2024-07-22,101,POPLAR MOUTH,46.7,-91.78334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,9,0,0,0,0,0,16,0,0,868,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
2024-07-22,103,BRULE MOUTH,46.7486,-91.618065,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,27,0,0,0,0,797,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,3,0,15,0,0,0,12,0
2024-07-25,10044195,CHEQUAMEGON BAY,46.59708,-90.91349,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,6,0,13,13,0,0,108,0,311,0,0,0,57,0,120,0,0,1001,0,6,0,0,0,0,0,0,0,19,0,51,0,0,0,0,0,0,0,51,13,0,0,0,0,0,0,165,0,0,6,13,0
2024-07-25,10058871,LITTLE SAND BAY,46.9550318,-90.8905818,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,158,0,0,0,5,0,11,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,41,0
2024-07-25,115,BAD MOUTH,46.6375,-90.63333,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,82,0,0,0,58,0,68,0,0,630,0,17,0,0,0,0,0,0,0,0,0,41,0,0,0,58,0,0,0,41,0,0,0,0,3,3,0,44,0,0,0,17,0
2024-08-12,10052510,FLAG MOUTH,46.79663,-91.37061,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,379,0,0,0,0,0,25,0,0,365,0,5,0,0,0,0,0,0,0,0,0,3,14,0,0,74,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
2024-08-12,10052513,SISKIWIT BAY,46.85905,-91.115295,0,8,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,403,0,0,0,19,0,21,0,0,222,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,5,3,0,37,0,0,8,0,0
2024-08-12,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,537,0,0,0,23.5,0,25,0,0,574,0,13,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,63,0,8,8,0,0
2024-08-13,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,7.5,0,12,0,0,391,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,6,0,363
2024-08-13,10044195,CHEQUAMEGON BAY,46.59708,-90.91349,0,23,0,0,0,18,32,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,86,0,27,0,0,559,0,9,0,0,36,0,0,0,0,14,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,14,5,0
2024-08-13,10058871,LITTLE SAND BAY,46.9550318,-90.8905818,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,10,0,74,0,0,273,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,5,104,0
2024-08-13,101,POPLAR MOUTH,46.7,-91.78334,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,422,0,0,0,0,0,18,0,0,340,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,67,0,3,6,0,0
2024-08-13,103,BRULE MOUTH,46.7486,-91.618065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,60,0,0,837,0,27,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,193,0,0,13,0,0
2024-08-13,115,BAD MOUTH,46.6375,-90.63333,0,26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,260,0,0,0,13,0,67,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,45,0,0,0,13,0,0,0,0,3,0,0,38,0,3,6,19,0
2024-08-26,10044195,CHEQUAMEGON BAY,46.59708,-90.91349,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,121,0,15,0,0,1385,0,30,0,0,0,0,0,0,0,23,0,0,8,0,0,0,0,0,0,61,0,0,0,0,0,15,0,0,0,0,0,0,0
2024-08-26,10058871,LITTLE SAND BAY,46.9550318,-90.8905818,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1432,0,0,0,0,0,23,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,17,41,0
2024-08-26,115,BAD MOUTH,46.6375,-90.63333,0,6,0,200,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,13,0,22,0,0,216,0,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,50,0
2024-09-09,10044195,CHEQUAMEGON BAY,46.59708,-90.91349,0,0,0,0,0,39,216,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,199,0,0,0,69,0,35,0,0,856,169,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,9,4,0,39,0,0,0,22,0
2024-09-09,10058871,LITTLE SAND BAY,46.9550318,-90.8905818,0,11,0,241,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,85,0,255,0,0,0,11,0,60,0,0,651,0,0,0,0,92,0,0,0,0,25,0,0,0,0,0,67,0,0,0,14,0,0,0,0,7,0,0,25,0,0,0,0,0
2024-09-09,115,BAD MOUTH,46.6375,-90.63333,0,0,0,409,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,433,0,0,0,0,0,10,0,0,871,0,0,0,0,165,0,0,0,0,44,0,0,0,0,0,68,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,92,0
2024-09-30,10040814,SCHAFFER BEACH,46.68592,-91.929726,0,0,0,359,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,277,0,0,0,8,0,33,0,0,834,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,50,0,0,0,0,4,0,0,0,0,0,8,0,0
2024-10-04,10052510,FLAG MOUTH,46.79663,-91.37061,0,0,0,0,0,11,62,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,126,0,0,0,11,17,28,0,0,604,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0
2024-10-04,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,523,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,101,0,0,0,3,19,33,0,0,477,0,3,0,0,0,0,0,0,0,27,0,0,0,0,0,90,0,0,0,5,0,0,0,0,0,3,0,5,0,0,5,0,0
2024-09-30,10052587,IRON MOUTH,46.77119,-91.48382,0,14,0,0,0,35,32,0,0,0,0,0,0,0,0,0,238,0,0,3,12,0,0,0,0,43,0,0,0,14,12,41,0,0,687,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0
2024-09-30,101,POPLAR MOUTH,46.7,-91.78334,0,22,0,0,0,19,132,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,182,0,0,0,16,75,31,0,0,611,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,9,6,0
2024-09-30,103,BRULE MOUTH,46.7486,-91.618065,0,26,0,0,0,0,31,0,0,0,0,0,0,0,0,0,299,0,0,4,13,0,0,0,0,198,0,0,0,0,31,13,0,0,1024,0,22,0,0,0,0,0,0,0,13,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-08,10044195,CHEQUAMEGON BAY,46.59708,-90.91349,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,4,14,0,0,0,0,323,0,0,0,11,29,29,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,4,0,0,0,0,0,0,0
2024-10-08,10058871,LITTLE SAND BAY,46.9550318,-90.8905818,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,57,0,0,0,18,8,16,0,0,371,0,0,0,0,22,0,0,0,0,8,0,0,8,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-08,115,BAD MOUTH,46.6375,-90.63333,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,3,0,0,0,0,74,0,0,0,5,22,3,0,0,248,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0
